Pb_Pb Mean Width Dist Flactutation Temp Kink eta_s Slope_low Slope_high Max Temp_peak Width_peak Asym_peak R
12.278 0.0906 1.0949 3.5536 0.497 0.1588 0.288 0.1892 0.9931 1.9769 0.2488 0.268 0.1438 0.6674 0.8092
28.702 -0.6184 1.0179 2.1661 0.6589 0.1404 0.276 0.0322 -0.6383 -0.0163 0.1335 0.1404 0.0791 0.7794 0.4447
25.722 -0.1099 0.7301 2.176 1.3001 0.1537 0.2662 0.1997 0.8491 -0.9481 0.0635 0.1977 0.0469 0.6155 0.9954
29.89 0.4717 1.0109 2.3155 1.9604 0.1566 0.2305 0.0369 0.9523 1.7381 0.0709 0.1986 0.1281 -0.6741 0.3432
24.002 -0.6805 1.3603 0.9084 0.5065 0.1483 0.1309 0.1977 0.9613 1.6025 0.0422 0.1587 0.0534 0.3502 0.9165
25.302 -0.0097 1.4377 4.7563 1.0788 0.1428 0.296 0.0171 -0.6251 1.8815 0.205 0.2955 0.0476 0.403 0.3713
29.446 -0.1603 1.3147 3.9682 1.9536 0.1497 0.2112 0.1078 -1.8335 0.4733 0.0429 0.2431 0.08 -0.7163 0.5997
20.986 -0.3557 1.0815 4.3839 0.6024 0.1631 0.2517 0.1735 -1.8569 -0.3667 0.2166 0.1319 0.1221 0.6338 0.3947
23.15 0.3639 0.6939 0.3002 1.94 0.1493 0.2916 0.0684 -0.4019 -0.6631 0.2436 0.2182 0.054 0.4536 0.6054
15.79 -0.5635 1.1403 0.8102 1.8632 0.1493 0.2369 0.0408 -0.3749 1.4909 0.2436 0.1333 0.0941 -0.3989 0.5358
11.974 0.4812 0.7187 0.0575 0.51 0.1472 0.285 0.1387 -1.7945 0.7967 0.0992 0.2105 0.1432 -0.7122 0.9397
12.294 0.1973 0.7887 1.5275 0.3192 0.164 0.2243 0.1868 -0.4367 1.1903 0.0502 0.2424 0.0897 -0.2862 0.3086
23.178 -0.6444 0.5763 1.9195 0.379 0.1643 0.2724 0.0434 0.2551 -0.2641 0.2358 0.1734 0.0269 0.4018 0.8696
24.098 -0.6511 1.0073 4.1932 0.7826 0.1507 0.1381 0.1709 -0.6587 0.1367 0.0399 0.2807 0.1193 0.2994 0.9743
22.774 -0.0085 1.2593 4.8074 1.9142 0.1505 0.2798 0.1799 0.8071 -0.7411 0.1326 0.2899 0.1407 -0.2178 0.5557
17.546 -0.3308 0.8393 3.6833 0.8595 0.1647 0.2726 0.1185 -1.8467 1.1453 0.1006 0.1286 0.0567 0.5963 0.9233
26.286 -0.6301 0.7863 0.3876 1.2358 0.1618 0.1601 0.1876 -1.9277 -0.5431 0.1349 0.1488 0.1409 -0.0104 0.46
18.63 -0.2673 0.7259 0.5812 1.7506 0.1559 0.1767 0.013 0.9259 0.9221 0.0882 0.1771 0.029 0.3877 0.6074
26.91 -0.5165 0.5145 4.5539 0.854 0.1513 0.1327 0.0245 0.5143 -0.3139 0.0515 0.1269 0.1317 -0.3083 0.371
11.802 -0.6478 1.0067 4.7376 1.5116 0.1535 0.203 0.1912 0.8725 1.9367 0.0229 0.1708 0.0984 0.3419 0.7269
15.818 0.1765 0.9783 0.6303 1.4075 0.1479 0.1352 0.1876 -1.3895 0.4553 0.1586 0.2376 0.0612 -0.5931 0.5367
15.038 0.0405 0.7655 4.1215 0.4066 0.1528 0.178 0.0878 0.7801 1.4369 0.093 0.2462 0.0392 0.7422 0.843
17.262 -0.6696 0.7465 0.0536 0.4964 0.1446 0.2296 0.1535 0.0577 0.6479 0.1284 0.1233 0.0745 -0.3534 0.9105
25.178 -0.6836 1.1305 4.1127 1.5381 0.1633 0.2406 0.1176 0.7147 0.0791 0.2384 0.1232 0.0772 -0.3426 0.9298
14.05 -0.4045 1.1013 0.1046 1.0495 0.1438 0.2897 0.0196 -0.3791 1.8269 0.0211 0.2967 0.0894 -0.1022 0.8533
25.158 -0.4532 1.3945 3.8277 0.3896 0.1455 0.2946 0.0666 -1.4759 1.1429 0.0199 0.1535 0.1135 -0.0946 0.8914
21.938 0.6033 0.7155 3.7491 1.2797 0.144 0.1565 0.1698 0.8647 0.9275 0.116 0.1576 0.0812 -0.6776 0.5524
28.25 -0.4358 0.7443 3.1576 0.3162 0.1403 0.1395 0.1935 0.3121 -0.8419 0.0807 0.1216 0.1357 -0.6043 0.9304
25.57 -0.6845 1.0125 4.152 1.479 0.1433 0.1323 0.0263 -1.8881 0.6683 0.2113 0.216 0.0995 -0.7115 0.901
15.35 0.6453 0.6585 0.2668 1.7159 0.1648 0.1844 0.0889 -0.6575 1.8509 0.0622 0.275 0.1452 -0.124 0.598
14.582 -0.4162 1.2809 3.9987 0.4742 0.1451 0.1428 0.147 -1.0811 0.8759 0.0425 0.1485 0.026 0.437 0.3505
27.554 -0.6993 1.1355 0.3198 1.6639 0.1355 0.1745 0.1989 -0.1901 0.4271 0.1016 0.1235 0.0289 -0.5886 0.3967
15.554 -0.1785 1.1709 2.0404 1.7782 0.1615 0.2034 0.1926 -1.3565 0.0167 0.2293 0.1904 0.1343 -0.3576 0.8784
15.266 0.6789 0.7309 4.4743 0.547 0.158 0.2777 0.1353 -1.6085 0.5867 0.0238 0.2666 0.0304 -0.3739 0.9186
29.414 -0.3233 1.3513 0.3434 0.6793 0.1628 0.222 0.1707 -1.2035 1.2557 0.1878 0.184 0.0673 -0.5246 0.3216
21.542 -0.4495 1.1163 4.8604 0.5055 0.1419 0.2902 0.0426 0.7267 -0.8413 0.0444 0.1329 0.0306 -0.7858 0.4594
18.706 0.5629 0.5873 3.81 1.5347 0.1471 0.2817 0.1485 -1.9577 -0.2683 0.1698 0.2728 0.132 0.555 0.8993
16.47 0.1429 0.6049 0.5223 1.9424 0.164 0.2338 0.1013 0.2683 0.1643 0.2268 0.1589 0.065 -0.6814 0.9463
15.07 -0.6047 0.9133 4.6472 0.4535 0.156 0.2735 0.0705 -0.8387 0.8723 0.2295 0.1924 0.1124 -0.5902 0.8172
18.978 -0.6881 0.6749 3.2342 1.4926 0.158 0.1326 0.0601 -1.6001 -0.8839 0.0398 0.2311 0.1136 0.6424 0.3152
28.858 -0.6209 1.4597 1.3034 1.8227 0.1545 0.2874 0.1389 -1.7567 -0.1087 0.0177 0.1364 0.1259 0.651 0.5958
26.814 0.4887 0.5003 0.3454 1.3062 0.1603 0.2839 0.1216 0.9481 0.4427 0.0551 0.1251 0.1409 0.7179 0.5298
29.922 -0.6005 1.4265 0.4849 1.906 0.1474 0.2535 0.0148 -1.7285 0.0947 0.2137 0.2885 0.1472 0.6738 0.8176
25.186 -0.5095 0.7719 3.2156 0.3083 0.1452 0.2062 0.0918 -1.7219 -0.4657 0.1115 0.2881 0.0489 -0.6693 0.4412
26.402 0.5783 0.5405 0.9615 0.6619 0.1517 0.1438 0.0571 0.6331 -0.1027 0.2431 0.2732 0.1052 0.7182 0.523
23.354 -0.4098 1.4967 3.0947 0.5059 0.1481 0.2846 0.1927 -1.7135 0.1217 0.1174 0.2933 0.0509 0.7256 0.5931
26.854 -0.6091 0.6435 0.539 1.4161 0.1578 0.2573 0.1313 -1.7699 -0.1561 0.0167 0.1276 0.0333 0.0699 0.4698
20.59 -0.2213 0.7563 3.2293 0.5467 0.1431 0.2872 0.1779 0.3685 -0.7465 0.177 0.1576 0.1311 -0.0392 0.5439
17.842 -0.2972 1.1793 0.9173 1.6517 0.1585 0.2908 0.1752 0.1729 0.3173 0.075 0.2752 0.123 0.3902 0.8787
13.35 0.0318 1.0339 0.5301 0.7809 0.1639 0.2921 0.1681 -0.3527 0.8849 0.2324 0.19 0.0269 0.6171 0.696
18.386 -0.6503 0.9707 0.1086 1.994 0.1575 0.2398 0.1328 0.3253 -0.0679 0.0111 0.1258 0.0987 -0.7077 0.8602
14.81 -0.279 1.0567 1.3486 0.5729 0.1363 0.1424 0.0394 -1.5851 0.1901 0.0823 0.1366 0.1398 0.4053 0.837
13.682 -0.5173 1.4555 1.2366 1.8244 0.1405 0.2891 0.0808 -1.8389 -0.0979 0.0932 0.1226 0.0259 0.3358 0.5955
