"Slice" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"41" 1 0.803 0.911 0.301 0.143 0.213 0.323 0.065 0.699 0.219 0.007 0.653 0.577 0.183 0.369 0.631
"42" 1 0.823 0.081 0.809 0.455 0.839 0.201 0.043 0.861 0.509 0.597 0.311 0.699 0.167 0.437 0.325
"43" 1 0.849 0.125 0.923 0.663 0.493 0.473 0.775 0.237 0.991 0.745 0.723 0.165 0.805 0.685 0.585
"44" 1 0.861 0.981 0.497 0.489 0.119 0.923 0.403 0.623 0.633 0.483 0.903 0.357 0.675 0.981 0.229
"45" 1 0.883 0.355 0.195 0.617 0.449 0.619 0.155 0.031 0.225 0.223 0.145 0.483 0.015 0.587 0.075
"46" 1 0.901 0.941 0.521 0.807 0.925 0.717 0.559 0.981 0.705 0.847 0.333 0.641 0.437 0.841 0.687
"47" 1 0.933 0.723 0.915 0.557 0.351 0.043 0.435 0.247 0.341 0.699 0.799 0.461 0.121 0.729 0.899
"48" 1 0.949 0.433 0.203 0.431 0.587 0.141 0.473 0.745 0.553 0.177 0.827 0.059 0.915 0.801 0.843
"49" 1 0.961 0.707 0.987 0.379 0.503 0.513 0.009 0.891 0.595 0.515 0.451 0.157 0.693 0.229 0.967
"50" 1 0.987 0.459 0.129 0.703 0.721 0.901 0.689 0.199 0.527 0.421 0.775 0.245 0.113 0.323 0.929
"51" 2 0.015 0.603 0.819 0.631 0.977 0.609 0.681 0.893 0.873 0.821 0.365 0.313 0.133 0.439 0.731
"52" 2 0.025 0.025 0.389 0.673 0.361 0.333 0.419 0.249 0.405 0.281 0.613 0.247 0.243 0.015 0.101
"53" 2 0.043 0.943 0.239 0.457 0.809 0.809 0.323 0.331 0.289 0.413 0.945 0.881 0.331 0.193 0.607
"54" 2 0.077 0.937 0.163 0.139 0.267 0.845 0.703 0.441 0.313 0.531 0.039 0.329 0.229 0.821 0.357
"55" 2 0.083 0.831 0.593 0.583 0.133 0.825 0.837 0.647 0.459 0.117 0.237 0.397 0.971 0.163 0.301
"56" 2 0.105 0.897 0.493 0.781 0.215 0.203 0.973 0.663 0.465 0.957 0.837 0.511 0.463 0.327 0.703
"57" 2 0.137 0.377 0.051 0.533 0.657 0.685 0.251 0.261 0.183 0.513 0.013 0.727 0.939 0.157 0.253
"58" 2 0.141 0.445 0.769 0.201 0.855 0.055 0.489 0.351 0.069 0.147 0.577 0.141 0.537 0.505 0.851
"59" 2 0.171 0.233 0.143 0.103 0.161 0.311 0.017 0.419 0.833 0.717 0.803 0.773 0.591 0.217 0.665
"60" 2 0.183 0.301 0.015 0.873 0.417 0.767 0.643 0.909 0.211 0.633 0.729 0.425 0.055 0.849 0.573
"61" 2 0.209 0.439 0.189 0.723 0.021 0.095 0.525 0.155 0.129 0.371 0.345 0.707 0.715 0.649 0.909
"62" 2 0.223 0.623 0.747 0.001 0.321 0.489 0.367 0.951 0.009 0.477 0.249 0.851 0.211 0.311 0.529
"63" 2 0.253 0.473 0.405 0.743 0.863 0.361 0.293 0.319 0.925 0.009 0.777 0.675 0.989 0.373 0.129
"64" 2 0.265 0.577 0.603 0.651 0.837 0.941 0.343 0.013 0.653 0.963 0.057 0.815 0.361 0.731 0.489
"65" 2 0.297 0.763 0.375 0.385 0.555 0.397 0.115 0.983 0.941 0.925 0.099 0.561 0.783 0.547 0.183
"66" 2 0.307 0.539 0.789 0.159 0.359 0.181 0.573 0.291 0.851 0.123 0.883 0.797 0.069 0.575 0.931
"67" 2 0.331 0.277 0.511 0.415 0.585 0.759 0.589 0.795 0.101 0.843 0.625 0.181 0.837 0.025 0.961
"68" 2 0.341 0.329 0.207 0.165 0.777 0.581 0.767 0.725 0.517 0.559 0.147 0.653 0.959 0.951 0.957
"69" 2 0.365 0.193 0.821 0.283 0.001 0.985 0.315 0.055 0.223 0.783 0.437 0.529 0.673 0.787 0.321
"70" 2 0.395 0.343 0.333 0.235 0.753 0.643 0.801 0.385 0.733 0.917 0.693 0.019 0.277 0.907 0.061
"71" 2 0.411 0.985 0.843 0.851 0.475 0.575 0.427 0.867 0.263 0.231 0.449 0.631 0.607 0.969 0.985
"72" 2 0.421 0.877 0.039 0.277 0.605 0.277 0.233 0.175 0.563 0.767 0.863 0.127 0.847 0.771 0.813
"73" 2 0.459 0.643 0.873 0.195 0.055 0.541 0.721 0.707 0.817 0.657 0.471 0.111 0.909 0.985 0.651
"74" 2 0.471 0.207 0.107 0.911 0.227 0.347 0.959 0.773 0.895 0.389 0.595 0.957 0.577 0.387 0.417
"75" 2 0.499 0.105 0.997 0.319 0.573 0.635 0.131 0.221 0.545 0.893 0.787 0.443 0.145 0.235 0.869
"76" 2 0.509 0.093 0.675 0.073 0.453 0.031 0.745 0.527 0.963 0.733 0.185 0.499 0.109 0.263 0.383
"77" 2 0.529 0.549 0.713 0.715 0.949 0.171 0.029 0.435 0.027 0.987 0.539 0.541 0.489 0.885 0.581
"78" 2 0.543 0.139 0.885 0.465 0.911 0.461 0.927 0.961 0.369 0.263 0.267 0.903 0.397 0.741 0.269
"79" 2 0.575 0.061 0.681 0.369 0.073 0.975 0.911 0.595 0.767 0.305 0.757 0.349 0.093 0.583 0.627
"80" 2 0.591 0.143 0.921 0.923 0.243 0.417 0.095 0.611 0.099 0.167 0.707 0.745 0.685 0.663 0.173
"81" 2 0.617 0.281 0.901 0.979 0.297 0.517 0.443 0.685 0.919 0.335 0.077 0.415 0.801 0.243 0.889
"82" 2 0.639 0.977 0.633 0.889 0.187 0.671 0.387 0.631 0.689 0.679 0.655 0.993 0.009 0.627 0.287
"83" 2 0.657 0.697 0.293 0.033 0.711 0.797 0.669 0.939 0.711 0.253 0.991 0.689 0.641 0.451 0.233
"84" 2 0.677 0.507 0.527 0.439 0.881 0.737 0.177 0.039 0.997 0.067 0.489 0.035 0.423 0.487 0.699
"85" 2 0.691 0.499 0.241 0.999 0.083 0.701 0.195 0.131 0.795 0.749 0.677 0.225 0.631 0.521 0.089
"86" 2 0.719 0.841 0.461 0.579 0.115 0.907 0.547 0.187 0.167 0.087 0.853 0.079 0.757 0.477 0.777
"87" 2 0.723 0.749 0.555 0.943 0.993 0.443 0.877 0.087 0.533 0.685 0.329 0.217 0.517 0.065 0.509
"88" 2 0.741 0.797 0.721 0.487 0.319 0.061 0.265 0.577 0.749 0.047 0.171 0.361 0.285 0.931 0.205
"89" 2 0.761 0.397 0.131 0.765 0.923 0.149 0.633 0.515 0.057 0.181 0.503 0.055 0.307 0.689 0.151
"90" 2 0.797 0.813 0.949 0.541 0.489 0.895 0.507 0.807 0.325 0.351 0.309 0.089 0.161 0.053 0.421
"91" 2 0.811 0.161 0.359 0.611 0.733 0.259 0.855 0.065 0.147 0.561 0.923 0.879 0.359 0.605 0.741
"92" 2 0.825 0.419 0.089 0.691 0.397 0.239 0.153 0.753 0.383 0.493 0.127 0.835 0.187 0.091 0.055
"93" 2 0.855 0.005 0.307 0.825 0.689 0.931 0.211 0.827 0.629 0.803 0.393 0.581 0.725 0.863 0.455
"94" 2 0.871 0.597 0.973 0.801 0.507 0.533 0.981 0.493 0.247 0.595 0.963 0.297 0.555 0.711 0.035
"95" 2 0.885 0.045 0.279 0.043 0.529 0.439 0.783 0.479 0.425 0.037 0.213 0.261 0.891 0.289 0.375
"96" 2 0.911 0.675 0.655 0.357 0.795 0.283 0.053 0.365 0.583 0.433 0.285 0.975 0.871 0.139 0.789
"97" 2 0.923 0.251 0.451 0.513 0.667 0.015 0.077 0.849 0.609 0.457 0.915 0.167 0.455 0.111 0.545
"98" 2 0.941 0.901 0.427 0.099 0.149 0.113 0.617 0.217 0.493 0.619 0.559 0.477 0.763 0.341 0.017
"99" 2 0.977 0.721 0.065 0.253 0.629 0.139 0.467 0.553 0.675 0.861 0.405 0.611 0.035 0.803 0.835
"100" 2 0.997 0.701 0.579 0.335 0.427 0.875 0.891 0.113 0.347 0.215 0.105 0.933 0.405 0.415 0.477
"101" 3 0.005 0.289 0.855 0.237 0.623 0.775 0.183 0.371 0.677 0.805 0.023 0.103 0.479 0.501 0.539
"102" 3 0.031 0.867 0.059 0.973 0.053 0.301 0.459 0.705 0.233 0.321 0.337 0.465 0.255 0.561 0.377
"103" 3 0.059 0.535 0.399 0.865 0.903 0.831 0.649 0.791 0.481 0.969 0.783 0.289 0.941 0.599 0.633
"104" 3 0.067 0.087 0.829 0.927 0.827 0.017 0.491 0.487 0.905 0.405 0.549 0.651 0.413 0.403 0.609
"105" 3 0.097 0.259 0.031 0.113 0.387 0.949 0.887 0.625 0.463 0.541 0.317 0.509 0.441 0.131 0.765
"106" 3 0.103 0.213 0.289 0.185 0.941 0.687 0.223 0.421 0.801 0.125 0.855 0.485 0.031 0.391 0.555
"107" 3 0.123 0.807 0.365 0.745 0.283 0.841 0.923 0.101 0.343 0.907 0.271 0.735 0.595 0.261 0.217
"108" 3 0.151 0.995 0.559 0.595 0.421 0.365 0.085 0.563 0.755 0.727 0.701 0.973 0.789 0.461 0.875
"109" 3 0.161 0.847 0.803 0.331 0.669 0.427 0.201 0.743 0.013 0.665 0.763 0.673 0.729 0.313 0.003
"110" 3 0.195 0.567 0.897 0.811 0.745 0.645 0.971 0.477 0.295 0.141 0.107 0.307 0.073 0.525 0.399
"111" 3 0.207 0.049 0.507 0.525 0.327 0.615 0.723 0.005 0.307 0.471 0.737 0.229 0.933 0.779 0.891
"112" 3 0.229 0.913 0.187 0.263 0.515 0.233 0.593 0.677 0.825 0.291 0.661 0.321 0.885 0.911 0.091
"113" 3 0.255 0.637 0.337 0.495 0.531 0.127 0.627 0.337 0.993 0.761 0.575 0.025 0.755 0.049 0.901
"114" 3 0.273 0.493 0.267 0.301 0.195 0.877 0.127 0.945 0.699 0.713 0.399 0.849 0.097 0.835 0.565
"115" 3 0.281 0.311 0.875 0.347 0.211 0.079 0.563 0.895 0.365 0.319 0.869 0.413 0.239 0.987 0.663
"116" 3 0.305 0.743 0.755 0.081 0.817 0.781 0.863 0.311 0.257 0.565 0.407 0.939 0.515 0.949 0.743
"117" 3 0.321 0.067 0.305 0.613 0.347 0.623 0.001 0.229 0.643 0.423 0.427 0.629 0.911 0.851 0.027
"118" 3 0.355 0.401 0.231 0.629 0.253 0.087 0.471 0.129 0.953 0.933 0.179 0.609 0.175 0.895 0.457
"119" 3 0.367 0.475 0.419 0.981 0.401 0.935 0.535 0.845 0.415 0.049 0.983 0.527 0.771 0.171 0.337
"120" 3 0.397 0.511 0.919 0.793 0.117 0.381 0.841 0.979 0.847 0.795 0.293 0.565 0.719 0.257 0.193
"121" 3 0.417 0.653 0.127 0.769 0.937 0.579 0.371 0.411 0.203 0.875 0.141 0.193 0.303 0.745 0.045
"122" 3 0.439 0.545 0.463 0.469 0.155 0.535 0.901 0.143 0.635 0.085 0.809 0.985 0.043 0.681 0.247
"123" 3 0.445 0.601 0.927 0.037 0.609 0.707 0.761 0.273 0.977 0.645 0.949 0.703 0.697 0.285 0.177
"124" 3 0.469 0.197 0.659 0.501 0.233 0.175 0.677 0.343 0.387 0.989 0.935 0.163 0.135 0.195 0.263
"125" 3 0.495 0.957 0.081 0.163 0.455 0.405 0.271 0.161 0.543 0.445 0.055 0.143 0.143 0.481 0.803
"126" 3 0.507 0.589 0.699 0.913 0.467 0.557 0.103 0.181 0.165 0.257 0.589 0.243 0.293 0.083 0.979
"127" 3 0.525 0.263 0.539 0.887 0.697 0.755 0.057 0.809 0.337 0.063 0.003 0.789 0.427 0.643 0.725
"128" 3 0.559 0.169 0.109 0.559 0.965 0.903 0.809 0.693 0.891 0.375 0.689 0.909 0.621 0.809 0.691
"129" 3 0.571 0.681 0.607 0.019 0.843 0.507 0.557 0.991 0.575 0.025 0.227 0.341 0.559 0.225 0.945
"130" 3 0.599 0.923 0.565 0.399 0.887 0.189 0.697 0.915 0.701 0.587 0.519 0.829 0.013 0.117 0.305
"131" 3 0.615 0.671 0.781 0.677 0.037 0.883 0.439 0.617 0.033 0.753 0.215 0.043 0.845 0.613 0.495
"132" 3 0.637 0.157 0.257 0.213 0.981 0.583 0.255 0.835 0.867 0.945 0.621 0.393 0.613 0.017 0.343
"133" 3 0.659 0.787 0.711 0.147 0.593 0.211 0.173 0.929 0.119 0.837 0.061 0.589 0.567 0.921 0.705
"134" 3 0.667 0.969 0.589 0.437 0.263 0.025 0.989 0.219 0.503 0.273 0.485 0.445 0.659 0.791 0.993
"135" 3 0.681 0.101 0.455 0.059 0.017 0.291 0.943 0.451 0.525 0.539 0.199 0.759 0.823 0.713 0.125
"136" 3 0.703 0.767 0.947 0.125 0.491 0.727 0.503 0.077 0.055 0.393 0.971 0.099 0.383 0.673 0.461
"137" 3 0.737 0.013 0.485 0.649 0.873 0.243 0.331 0.581 0.453 0.637 0.465 0.017 0.365 0.963 0.923
"138" 3 0.755 0.393 0.765 0.079 0.091 0.159 0.295 0.525 0.427 0.501 0.457 0.947 0.193 0.027 0.845
"139" 3 0.769 0.441 0.677 0.459 0.789 0.111 0.787 0.557 0.197 0.195 0.821 0.065 0.965 0.201 0.297
"140" 3 0.783 0.331 0.079 0.849 0.735 0.041 0.157 0.645 0.159 0.209 0.885 0.897 0.491 0.427 0.513
"141" 3 0.805 0.231 0.979 0.705 0.559 0.325 0.413 0.023 0.089 0.491 0.341 0.809 0.329 0.371 0.071
"142" 3 0.827 0.889 0.639 0.835 0.701 0.801 0.601 0.053 0.785 0.343 0.377 0.685 0.981 0.723 0.237
"143" 3 0.845 0.133 0.149 0.941 0.135 0.453 0.389 0.875 0.765 0.601 0.527 0.279 0.117 0.159 0.655
"144" 3 0.873 0.351 0.201 0.725 0.565 0.979 0.347 0.287 0.277 0.855 0.917 0.863 0.347 0.357 0.157
"145" 3 0.881 0.423 0.983 0.295 0.077 0.467 0.303 0.505 0.737 0.011 0.097 0.219 0.817 0.541 0.433
"146" 3 0.913 0.363 0.173 0.241 0.301 0.263 0.035 0.243 0.121 0.897 0.641 0.427 0.879 0.337 0.599
"147" 3 0.939 0.733 0.001 0.377 0.379 0.483 0.751 0.735 0.061 0.171 0.251 0.763 0.523 0.867 0.419
"148" 3 0.955 0.833 0.737 0.569 0.179 0.983 0.705 0.393 0.931 0.681 0.603 0.365 0.213 0.441 0.823
"149" 3 0.965 0.037 0.341 0.689 0.655 0.359 0.823 0.097 0.617 0.237 0.137 0.549 0.661 0.077 0.799
"150" 3 0.999 0.703 0.437 0.417 0.761 0.661 0.067 0.775 0.599 0.113 0.755 0.139 0.263 0.633 0.115
"151" 4 0.011 0.523 0.553 0.257 0.201 0.065 0.143 0.641 0.419 0.661 0.091 0.331 0.787 0.901 0.491
"152" 4 0.027 0.983 0.891 0.511 0.191 0.571 0.539 0.877 0.899 0.313 0.561 0.195 0.251 0.629 0.657
"153" 4 0.041 0.219 0.429 0.309 0.589 0.195 0.405 0.801 0.455 0.455 0.913 0.935 0.101 0.317 0.127
"154" 4 0.073 0.075 0.801 0.393 0.995 0.861 0.483 0.601 0.331 0.521 0.389 0.407 0.279 0.955 0.871
"155" 4 0.089 0.413 0.879 0.287 0.463 0.989 0.597 0.779 0.519 0.971 0.289 0.819 0.859 0.551 0.403
"156" 4 0.115 0.239 0.445 0.929 0.713 0.683 0.811 0.173 0.477 0.349 0.999 0.151 0.311 0.325 0.781
"157" 4 0.131 0.689 0.227 0.687 0.621 0.115 0.711 0.881 0.287 0.659 0.277 0.919 0.355 0.751 0.983
"158" 4 0.155 0.755 0.397 0.773 0.177 0.961 0.215 0.235 0.579 0.005 0.239 0.827 0.449 0.375 0.801
"159" 4 0.179 0.711 0.907 0.861 0.257 0.729 0.429 0.463 0.077 0.981 0.645 0.579 0.177 0.113 0.667
"160" 4 0.199 0.309 0.645 0.977 0.767 0.123 0.913 0.531 0.433 0.857 0.453 0.367 0.137 0.797 0.119
"161" 4 0.205 0.849 0.353 0.207 0.673 0.459 0.187 0.073 0.109 0.617 0.789 0.719 0.393 0.989 0.259
"162" 4 0.227 0.339 0.629 0.261 0.935 0.387 0.565 0.151 0.951 0.497 0.073 0.491 0.749 0.141 0.085
"163" 4 0.249 0.291 0.023 0.729 0.365 0.213 0.449 0.851 0.397 0.041 0.605 0.463 0.665 0.001 0.831
"164" 4 0.263 0.395 0.123 0.479 0.819 0.847 0.039 0.283 0.781 0.927 0.627 0.661 0.553 0.295 0.907
"165" 4 0.289 0.605 0.619 0.121 0.009 0.555 0.743 0.345 0.245 0.061 0.721 0.255 0.207 0.039 0.307
"166" 4 0.319 0.949 0.217 0.435 0.139 0.705 0.279 0.975 0.589 0.431 0.667 0.771 0.869 0.213 0.067
"167" 4 0.325 0.171 0.739 0.701 0.063 0.241 0.667 0.007 0.713 0.517 0.117 0.109 0.487 0.249 0.739
"168" 4 0.345 0.821 0.969 0.901 0.865 0.299 0.349 0.489 0.535 0.115 0.811 0.263 0.681 0.763 0.057
"169" 4 0.377 0.455 0.105 0.805 0.947 0.763 0.953 0.361 0.215 0.175 0.139 0.869 0.439 0.277 0.335
"170" 4 0.381 0.359 0.191 0.011 0.835 0.275 0.983 0.923 0.495 0.577 0.823 0.209 0.883 0.417 0.371
"171" 4 0.407 0.115 0.061 0.177 0.289 0.509 0.733 0.449 0.811 0.133 0.177 0.643 0.227 0.823 0.883
"172" 4 0.427 0.587 0.011 0.181 0.051 0.829 0.655 0.301 0.823 0.885 0.359 0.301 0.905 0.595 0.273
"173" 4 0.451 0.775 0.479 0.403 0.859 0.497 0.003 0.917 0.171 0.721 0.523 0.027 0.053 0.565 0.511
"174" 4 0.463 0.435 0.159 0.883 0.553 0.751 0.129 0.333 0.923 0.543 0.059 0.057 0.287 0.899 0.473
"175" 4 0.489 0.187 0.411 0.841 0.441 0.887 0.609 0.697 0.227 0.691 0.009 0.091 0.469 0.087 0.223
"176" 4 0.519 0.891 0.925 0.441 0.643 0.785 0.897 0.127 0.379 0.809 0.241 0.123 0.159 0.737 0.613
"177" 4 0.531 0.011 0.695 0.753 0.561 0.591 0.963 0.251 0.645 0.221 0.491 0.845 0.977 0.925 0.567
"178" 4 0.557 0.817 0.537 0.361 0.435 0.433 0.859 0.405 0.041 0.205 0.183 0.239 0.925 0.679 0.011
"179" 4 0.577 0.673 0.563 0.227 0.883 0.665 0.763 0.671 0.273 0.099 0.753 0.783 0.037 0.135 0.965
"180" 4 0.589 0.903 0.505 0.091 0.499 0.007 0.241 0.389 0.843 0.197 0.959 0.603 0.803 0.353 0.635
"181" 4 0.611 0.275 0.495 0.545 0.975 0.089 0.307 0.579 0.007 0.829 0.421 0.639 0.827 0.041 0.387
"182" 4 0.627 0.573 0.243 0.787 0.031 0.539 0.059 0.713 0.093 0.763 0.979 0.171 0.707 0.471 0.749
"183" 4 0.649 0.517 0.995 0.107 0.337 0.319 0.925 0.543 0.967 0.293 0.513 0.729 0.327 0.843 0.145
"184" 4 0.669 0.555 0.379 0.635 0.157 0.913 0.631 0.755 0.195 0.275 0.879 0.989 0.363 0.977 0.587
"185" 4 0.685 0.031 0.271 0.025 0.615 0.151 0.501 0.213 0.135 0.759 0.467 0.429 0.003 0.433 0.695
"186" 4 0.715 0.257 0.795 0.837 0.723 0.479 0.463 0.783 0.871 0.417 0.937 0.977 0.765 0.075 0.425
"187" 4 0.725 0.373 0.671 0.991 0.405 0.659 0.111 0.091 0.149 0.873 0.375 0.683 0.997 0.699 0.351
"188" 4 0.751 0.097 0.315 0.577 0.757 0.163 0.543 0.999 0.987 0.143 0.305 0.347 0.401 0.493 0.181
"189" 4 0.765 0.159 0.701 0.051 0.501 0.939 0.079 0.823 0.761 0.333 0.335 0.507 0.195 0.185 0.521
"190" 4 0.793 0.127 0.779 0.157 0.085 0.329 0.873 0.731 0.309 0.599 0.887 0.525 0.731 0.385 0.859
"191" 4 0.807 0.791 0.165 0.493 0.305 0.351 0.397 0.501 0.913 0.625 0.697 0.011 0.083 0.161 0.171
"192" 4 0.833 0.871 0.743 0.537 0.693 0.947 0.695 0.585 0.747 0.255 0.585 0.077 0.957 0.239 0.709
"193" 4 0.843 0.483 0.853 0.359 0.391 0.371 0.087 0.277 0.031 0.035 0.541 0.583 0.593 0.719 0.933
"194" 4 0.863 0.961 0.587 0.061 0.273 0.627 0.339 0.197 0.681 0.909 0.219 0.741 0.611 0.449 0.953
"195" 4 0.899 0.731 0.049 0.593 0.919 0.227 0.839 0.115 0.559 0.787 0.767 0.453 0.657 0.807 0.451
"196" 4 0.909 0.047 0.087 0.339 0.355 0.617 0.291 0.425 0.345 0.377 0.849 0.285 0.511 0.871 0.029
"197" 4 0.927 0.657 0.295 0.953 0.109 0.413 0.793 0.941 0.723 0.707 0.157 0.399 0.633 0.645 0.775
"198" 4 0.951 0.639 0.835 0.661 0.797 0.805 0.179 0.029 0.673 0.469 0.709 0.893 0.061 0.601 0.541
"199" 4 0.967 0.465 0.323 0.615 0.237 0.053 0.377 0.047 0.619 0.381 0.033 0.959 0.565 0.535 0.291
"200" 4 0.991 0.933 0.955 0.645 0.523 0.033 0.229 0.637 0.623 0.943 0.411 0.547 0.525 0.513 0.211
"201" 5 0.013 0.243 0.679 0.221 0.147 0.429 0.595 0.703 0.669 0.019 0.253 0.189 0.703 0.245 0.895
"202" 5 0.021 0.383 0.095 0.751 0.015 0.723 0.109 0.195 0.353 0.781 0.275 0.335 0.197 0.377 0.561
"203" 5 0.045 0.993 0.121 0.481 0.687 0.309 0.769 0.121 0.423 0.045 0.565 0.765 0.585 0.695 0.535
"204" 5 0.071 0.003 0.185 0.279 0.971 0.585 0.845 0.363 0.565 0.193 0.423 0.053 0.505 0.539 0.365
"205" 5 0.091 0.203 0.831 0.249 0.505 0.131 0.871 0.119 0.783 0.709 0.581 0.523 0.481 0.971 0.761
"206" 5 0.107 0.553 0.481 0.387 0.101 0.633 0.621 0.275 0.411 0.435 0.969 0.087 0.955 0.463 0.063
"207" 5 0.139 0.345 0.647 0.855 0.545 0.093 0.961 0.549 0.117 0.289 0.545 0.885 0.257 0.107 0.405
"208" 5 0.147 0.485 0.807 0.969 0.897 0.379 0.325 0.315 0.539 0.677 0.797 0.421 0.897 0.003 0.617
"209" 5 0.167 0.845 0.277 0.713 0.725 0.285 0.903 0.785 0.339 0.853 0.121 0.343 0.921 0.443 0.197
"210" 5 0.191 0.367 0.045 0.187 0.061 0.005 0.523 0.897 0.729 0.507 0.487 0.489 0.321 0.611 0.203
"211" 5 0.217 0.437 0.621 0.023 0.479 0.793 0.497 0.165 0.095 0.627 0.281 0.451 0.125 0.173 0.021
