Pb_Pb Mean Width Dist Flactutation Temp Kink eta_s Slope_low Slope_high Max Temp_peak Width_peak Asym_peak R
23.405 -0.4037 1.0648 0.2945 0.8189 0.1346 0.1875 0.1183 -1.5718 0.0762 0.0565 0.1687 0.084 0.3572 0.5777
22.745 -0.9248 1.2228 1.6248 0.3574 0.1632 0.2261 0.0311 -1.6738 1.8852 0.1346 0.1659 0.0582 -0.5492 0.6292
26.555 -0.5992 0.6612 1.0961 1.0034 0.1373 0.1575 0.0404 -0.4062 -0.4772 0.1861 0.1591 0.1153 0.1452 0.9267
15.145 0.2091 0.9628 0.0871 0.739 0.1309 0.1401 0.1894 0.9888 0.7048 0.1814 0.1803 0.0806 -0.2044 0.6946
21.995 -0.1045 1.4133 1.3145 1.6264 0.1286 0.1448 0.1588 -0.1767 -0.4458 0.0655 0.1657 0.1255 0.0364 0.548
24.255 -0.1955 1.4468 0.1883 1.9069 0.1327 0.2787 0.0253 -1.9078 0.2143 0.2497 0.2786 0.107 -0.3676 0.8024
16.525 -0.901 1.3367 0.2656 1.7301 0.1611 0.2875 0.191 -0.1677 1.8118 0.0173 0.2647 0.1303 -0.6692 0.8497
18.915 -0.0518 0.5048 1.0706 0.7552 0.1228 0.292 0.0939 -1.9242 -0.1052 0.2118 0.1242 0.1038 -0.5204 0.6183
18.545 -0.385 1.2858 0.0013 1.8075 0.1266 0.2658 0.1343 -0.0447 -0.1262 0.2052 0.1264 0.1335 -0.1708 0.4475
19.465 0.0043 0.9672 1.3698 1.6281 0.1331 0.1633 0.1856 -0.4017 -0.0962 0.1838 0.1524 0.0481 0.7108 0.3383
27.005 -0.9545 1.3323 1.0485 1.6069 0.1477 0.257 0.1874 -1.9752 -0.4248 0.1159 0.2145 0.04 0.7052 0.7366
26.275 -0.6732 0.6892 1.2499 1.2473 0.1201 0.2884 0.1573 0.5072 -0.5778 0.1247 0.1342 0.146 -0.2588 0.9942
27.715 -0.0629 1.1048 0.3557 0.7696 0.1396 0.2948 0.1393 -0.1317 -0.9888 0.1907 0.1876 0.0493 0.1988 0.4248
22.645 -0.6494 0.8462 1.6171 0.586 0.1279 0.2788 0.0353 -1.2117 -0.7502 0.0653 0.1756 0.1146 0.6276 0.9302
27.895 -0.2507 0.5953 0.5818 0.9779 0.1215 0.1387 0.0387 -1.1353 -0.6738 0.0259 0.2224 0.097 -0.7996 0.3107
27.145 -0.9656 1.2528 0.2648 0.4441 0.1241 0.138 0.0233 -0.7092 1.7652 0.0231 0.1226 0.0665 -0.1812 0.9218
27.745 -0.0246 1.3582 1.6596 1.5533 0.1203 0.1901 0.0118 0.0648 -0.0902 0.1183 0.1668 0.0752 -0.0804 0.961
26.635 -0.8755 1.4758 1.1496 0.96 0.1362 0.1521 0.1534 -0.7498 1.3978 0.2375 0.2968 0.1254 -0.1444 0.9858
10.415 0.578 0.7143 0.3115 1.6502 0.1409 0.2586 0.0227 -1.1068 1.8073 0.0233 0.2406 0.145 -0.438 0.3929
20.285 -0.3765 1.0442 0.0973 1.7633 0.1287 0.199 0.0632 0.1397 0.1273 0.1283 0.2625 0.0377 -0.6156 0.352
21.265 -0.2822 0.8202 1.5466 1.1411 0.1235 0.2985 0.1468 -0.3477 -0.9708 0.2075 0.1225 0.0256 0.738 0.7825
24.545 -0.9783 0.7852 0.2928 1.6774 0.1209 0.1899 0.0891 -1.5658 -0.2702 0.0608 0.2469 0.085 -0.4972 0.9519
17.995 0.5457 0.5618 0.4739 1.6732 0.1233 0.1901 0.19 -1.8012 -0.5282 0.1998 0.1376 0.026 -0.5876 0.8612
26.235 -0.1768 0.8082 0.6974 0.6787 0.1272 0.2671 0.0287 -1.7262 -0.0632 0.0325 0.2871 0.1066 0.6108 0.486
14.905 0.5823 0.9682 1.4726 1.6239 0.1275 0.1354 0.1167 -0.0793 0.7692 0.0864 0.1484 0.0577 -0.7884 0.8857
24.845 -0.0229 0.6572 0.2801 0.3735 0.1449 0.1483 0.0309 0.7293 -0.8478 0.1147 0.1984 0.0458 0.5148 0.5364
18.055 0.448 1.2072 0.3736 1.374 0.1252 0.2721 0.0452 0.4563 0.5248 0.0539 0.137 0.0493 0.5892 0.395
26.675 -0.3281 1.4228 1.2049 0.3455 0.1343 0.2725 0.1947 0.0528 -0.4817 0.0601 0.1892 0.058 -0.1972 0.3761
15.255 -0.7837 0.5788 1.3383 0.7212 0.1273 0.1476 0.082 0.3363 0.9328 0.0141 0.223 0.1427 0.6284 0.9435
23.195 -0.204 1.2448 0.8683 1.6077 0.1294 0.2955 0.1077 0.5882 -0.9152 0.137 0.2668 0.1037 0.682 0.373
25.835 -0.7131 1.1342 0.326 0.7492 0.1285 0.1728 0.0405 -0.5667 0.4032 0.2267 0.1309 0.0951 0.1356 0.3891
22.795 -0.3204 0.9412 0.0055 1.1708 0.1206 0.1464 0.0853 -1.6872 -0.7788 0.0687 0.2616 0.0273 0.5804 0.7482
22.995 0.0893 0.9942 0.3591 0.3166 0.1262 0.1339 0.0215 0.9333 0.7392 0.0201 0.1582 0.1478 -0.6108 0.5651
17.585 0.1828 0.6248 0.0514 0.5656 0.1237 0.249 0.1984 0.3182 -0.9842 0.0633 0.2317 0.0952 0.1028 0.4846
22.955 0.5126 0.5782 1.6902 1.459 0.1263 0.2086 0.0803 -1.1322 -0.4788 0.0959 0.197 0.113 0.0716 0.8269
18.125 -0.7344 1.0482 1.4845 1.8874 0.1224 0.2966 0.1809 -0.1827 -0.2598 0.0126 0.1467 0.1286 -0.5716 0.542
18.435 0.3596 1.0258 1.5933 0.4704 0.1299 0.2596 0.1731 -0.2473 -0.0992 0.2239 0.1759 0.1436 0.6484 0.8836
25.415 -0.6077 0.5297 1.1989 1.9112 0.1284 0.2125 0.0554 -1.5358 -0.6438 0.246 0.2791 0.0677 0.1716 0.4787
19.975 0.6358 1.1158 0.5682 1.8253 0.1278 0.243 0.1654 -1.0002 -0.8268 0.2088 0.2989 0.1017 -0.5268 0.5126
23.185 -0.2992 1.1772 1.4692 0.4781 0.1221 0.2005 0.1183 -1.9392 -0.4022 0.1518 0.2442 0.0649 0.634 0.7342
10.285 0.2984 0.8388 1.6333 0.847 0.1329 0.235 0.0677 0.4458 1.2748 0.0117 0.285 0.031 -0.0236 0.6148
17.105 -0.3714 1.3692 0.1832 1.8925 0.1257 0.1414 0.175 0.9017 -0.5448 0.0341 0.2415 0.1168 0.434 0.3744
11.125 -0.8262 0.6522 1.2984 1.657 0.1223 0.1338 0.0487 -1.1457 0.4108 0.1651 0.1858 0.1126 -0.7364 0.7076
18.315 -0.1198 0.5488 0.4025 1.2618 0.1223 0.2986 0.1637 0.8957 -0.6482 0.176 0.1293 0.0509 -0.2428 0.856
15.935 -0.034 0.7658 0.6158 0.6634 0.1354 0.2059 0.1918 0.7428 0.5097 0.0195 0.1211 0.1452 -0.2612 0.8511
25.695 -0.8347 1.4142 1.2542 0.5197 0.1251 0.1953 0.0333 -1.1248 -0.5658 0.0167 0.229 0.1305 0.0924 0.4675
28.935 -0.4148 1.3292 0.8691 1.9622 0.1325 0.2773 0.0271 -0.4963 1.4788 0.0357 0.1268 0.128 -0.2212 0.6932
28.355 -0.6009 1.0468 0.6005 1.952 0.1314 0.178 0.1696 -1.2868 -0.6362 0.1569 0.1276 0.1045 0.7996 0.5935
26.795 -0.0935 0.5262 1.4437 1.0136 0.1438 0.2075 0.1608 -0.6612 -0.2972 0.0211 0.2916 0.0677 0.766 0.3597
18.245 -0.6528 0.6772 1.5755 1.64 0.1228 0.2821 0.188 -1.9468 -0.0062 0.2192 0.1686 0.101 -0.1412 0.9855
25.245 -0.9537 0.5362 1.6324 1.5822 0.1415 0.2813 0.0568 0.2088 -0.7083 0.0612 0.1816 0.0546 -0.6324 0.5833
16.715 -0.9103 1.2652 0.4696 1.8296 0.1641 0.1345 0.1882 0.4173 -0.4608 0.1815 0.2432 0.084 -0.798 0.3646
29.905 -0.1147 1.1593 0.6413 0.7917 0.1388 0.2201 0.1059 -1.1833 -0.9602 0.0825 0.1672 0.129 -0.7468 0.9169
23.355 -0.0943 1.4512 1.6163 1.572 0.1302 0.1689 0.1719 0.6678 1.8883 0.0185 0.2997 0.1015 -0.518 0.31
25.975 -0.9409 1.2843 0.0234 1.13 0.1383 0.1581 0.0639 0.0842 0.2068 0.1122 0.2303 0.1019 -0.4308 0.7356
19.535 -0.6128 1.4702 1.6656 1.2439 0.1248 0.2149 0.1997 -1.0318 0.0118 0.0599 0.2856 0.0321 -0.1404 0.5144
17.695 -0.5023 1.3188 0.6966 0.3098 0.1225 0.2836 0.0528 -1.8522 1.9917 0.1554 0.2928 0.0893 -0.2348 0.5091
14.615 0.4522 0.5532 0.6694 1.7157 0.1212 0.2637 0.0164 -1.7532 -0.8838 0.1596 0.2489 0.138 0.598 0.6211
26.045 -0.4658 0.8308 0.9023 1.181 0.1237 0.2535 0.1236 -1.9348 -0.3992 0.0263 0.2672 0.1327 0.2412 0.9106
29.105 0.5185 1.2098 0.8904 1.6536 0.1399 0.2609 0.1184 -0.6522 0.0747 0.0138 0.2954 0.0303 0.4236 0.9309
